Participant;Narration;RE;Discourse;Accessibility;Right_Hand_Movement;Left_Hand_Movement;Left_Space_Use;Right_Space_Use;Duration
2.0;1;FARE;Introduction;-2.0;0.22280284996953326;0.23909531276806553;0.1056642215468024;0.1028895728997751;0.4
2.0;1;FARE;Re-introduction;0.0;0.3211053724372032;0.3701335968897455;0.11790244098220168;0.0909030666765028;0.58
2.0;2;KEDİ;Introduction;0.0;0.5768171892206007;0.6136641544292774;0.19175378442602672;0.19306140375272543;0.58
2.0;2;KEDİ;Re-introduction;0.0;0.2256876203434821;0.25280247582693377;0.11372821287939547;0.0853868474260819;0.36
2.0;2;KEDİ;Re-introduction;1.0;0.4549202094974531;0.48936968254407465;0.0787235921287126;0.11810685614000646;0.42000000000000004
2.0;3;FARE;Introduction;-1.0;0.37042289404013723;0.4096849791658754;0.13237493667677058;0.09422062236655679;0.26
2.0;3;FARE;Re-introduction;1.0;0.1116040055304865;0.130992781611893;0.0314284243096168;0.0472738257039567;0.26
2.0;3;FARE;Re-introduction;1.0;0.16977400856334648;0.19360213195540288;0.029248782475774716;0.024203581423051745;0.2
2.0;3;KEDİ;Introduction;-1.0;0.24782783968432034;0.2604924299151932;0.12279144902716774;0.1148670409629399;0.5
2.0;3;KEDİ;Re-introduction;1.0;0.176808111677679;0.1874094578436652;0.0163652842290513;0.0437553526146293;0.14
2.0;3;KEDİ;Re-introduction;1.0;0.1010781732355096;0.118426831695519;0.026935176217324695;0.02262374770872496;0.16
2.0;4;FARE;Introduction;-1.0;0.3937688240420984;0.43401711550413896;0.20189711910213184;0.14743485280289442;0.48
2.0;4;FARE;Maintenance;4.0;0.11261757940861;0.12129087281440108;0.027763491815057828;0.024596094762253898;0.24
2.0;4;FARE;Re-introduction;1.0;0.296428781330458;0.3443910203726011;0.1141956640239722;0.1204560177289179;0.42000000000000004
2.0;4;FARE;Re-introduction;1.0;0.1446367986964108;0.1681186653504071;0.0675853374574135;0.0597124870256414;0.36
2.0;4;FARE;Re-introduction;1.0;0.5994780275710903;0.6150830330508791;0.1293239633878657;0.14471802225454944;0.48
2.0;4;KEDİ;Introduction;-1.0;0.1536420330321869;0.1713517739715913;0.0682796052264561;0.041308681924475725;0.34
2.0;5;FARE;Introduction;-1.0;0.4976387560410403;0.5305415358050627;0.19559960319752148;0.1498769441341099;0.4
2.0;5;FARE;Re-introduction;1.0;0.3795468030515374;0.4191189990083405;0.10366535219248121;0.13558095586888957;0.48
2.0;5;KEDİ;Introduction;1.0;0.5663569079903684;0.593589733413076;0.24365364195348543;0.2862964583241777;0.5
2.0;5;KEDİ;Re-introduction;0.0;0.3062990581275837;0.3274214570406315;0.0583611477272727;0.04185994887089252;0.28
2.0;6;FARE;Introduction;-1.0;0.48216992475331;0.5106759340557535;0.13774611962905633;0.1305258740560318;0.62
2.0;6;FARE;Re-introduction;0.0;0.1438281616032117;0.16460346091595546;0.037121073261503705;0.0550092655754151;0.34
2.0;6;KEDİ;Introduction;1.0;0.2528302099229452;0.2899780329235769;0.0547362437168212;0.0692818202959429;0.2
2.0;6;KEDİ;Re-introduction;1.0;0.3099912743876097;0.3466588877760834;0.0717916324482329;0.060250919055965;0.22
2.0;7;KEDİ;Introduction;-1.0;0.8102149740260264;0.8380021087973866;0.17947003903456749;0.17415230778575777;0.3
2.0;7;KEDİ;Re-introduction;2.0;0.3449577878561382;0.35010299776205206;0.055696183391877596;0.1896803196297267;0.22
2.0;8;FARE;Introduction;0.0;0.4581418789148178;0.4729862438185743;0.0867798684890366;0.030297816889334132;0.2
2.0;8;FARE;Maintenance;5.0;0.170810764773496;0.1710393967171852;0.0300453437413449;0.0107768832052711;0.14
2.0;8;FARE;Re-introduction;3.0;0.08852086524330909;0.1079058943683015;0.0416394553040307;0.0328474062069771;0.18
2.0;8;KEDİ;Re-introduction;1.0;0.4361000362573537;0.4910313890594591;0.13515017929217726;0.15463190801687812;0.56
2.0;9;FARE;Introduction;0.0;0.4044556630863826;0.4496441181929255;0.10118012073506977;0.0807715034637502;0.54
2.0;9;FARE;Maintenance;4.0;0.19159349465488812;0.2096771698369246;0.060746373177532446;0.046345545875483;0.26
2.0;9;FARE;Re-introduction;2.0;0.1552519600049568;0.1740492370480902;0.0552647036749319;0.023862718558490502;0.32
2.0;9;FARE;Re-introduction;1.0;0.3791927607380961;0.42152889403000626;0.1469200520187369;0.12268426482219896;0.56
2.0;9;FARE;Re-introduction;1.0;0.2286986303724837;0.251346854509098;0.0444146362318149;0.03093152041156991;0.3
2.0;9;KEDİ;Introduction;1.0;0.4580954007214636;0.49582774664035295;0.1326778227750989;0.17741177157518523;0.8599999999999999
2.0;9;KEDİ;Re-introduction;0.0;0.0854489743661718;0.0975622153941614;0.0542289447828729;0.0168630470840039;0.12
2.0;10;FARE;Introduction;1.0;0.3188466474171367;0.34925614203089567;0.12557675533019888;0.10508117907171949;0.52
2.0;10;FARE;Re-introduction;1.0;0.3106065720729288;0.347697461327457;0.1158515031763792;0.11512358275432714;0.5
2.0;10;FARE;Re-introduction;2.0;0.1225081972836186;0.1457702527093597;0.03563661803327485;0.0252192478111921;0.3
2.0;10;KEDİ;Introduction;0.0;0.4367210924558983;0.4950218056987683;0.1588424068745466;0.1359481124758837;0.48
2.0;10;KEDİ;Maintenance;4.0;0.1642722618595543;0.1634569679806971;0.08373028947010301;0.03113903471228965;0.24
2.0;10;KEDİ;Maintenance;4.0;0.2299234009734779;0.2575126750136259;0.0927837437699412;0.09460792810027985;0.18
3.0;1;FARE;Introduction;-1.0;0.7258263332921955;0.794354148378427;0.2648274206502672;0.1871554605599408;0.6
3.0;1;FARE;Re-introduction;1.0;0.7073394585075365;0.7364108149567259;0.09852888115379294;0.08368817539694309;0.42000000000000004
3.0;1;FARE;Re-introduction;1.0;0.2721907669694731;0.29165122975182073;0.092164480075395;0.0899118807314182;0.38
3.0;1;FARE;Re-introduction;1.0;0.2544875870682295;0.2585671132340605;0.0572617367574993;0.0332167556006891;0.28
3.0;1;KEDİ;Introduction;0.0;0.3236537454698896;0.3502712035738685;0.1096285497983293;0.0818868805162896;0.42000000000000004
3.0;1;KEDİ;Maintenance;3.0;0.10280005023726731;0.11275227969667209;0.0546940045274296;0.0579923127114755;0.2
3.0;1;KEDİ;Re-introduction;2.0;0.2522825492439559;0.2650482813719366;0.0819432318739303;0.09577695041493971;0.36
3.0;1;KEDİ;Re-introduction;1.0;0.0755359220687455;0.0867921958267158;0.0441113447855356;0.0333207549109259;0.18
3.0;1;KEDİ;Re-introduction;1.0;0.19666704902582072;0.210248272935734;0.1033872717372228;0.044766310285243506;0.24
3.0;1;KEDİ;Re-introduction;1.0;0.0863910311805028;0.0948796659340181;0.037955449240054104;0.0314232475972637;0.14
3.0;2;KEDİ;Introduction;0.0;0.43074390813383995;0.48677191762125244;0.1455085207964345;0.15254152575466567;0.48
3.0;2;KEDİ;Introduction;-1.0;0.20396609768992902;0.2192382349282711;0.0969751466407269;0.05302086818917486;0.36
3.0;2;KEDİ;Re-introduction;0.0;0.2516552832551852;0.26391050430573365;0.10122490023489311;0.05492557736794727;0.18
3.0;2;KEDİ;Re-introduction;1.0;0.1042370699350806;0.1066528339455749;0.030956769943075613;0.038591817255765604;0.22
3.0;2;KEDİ;Re-introduction;1.0;0.2274616323554401;0.24794722460070628;0.05760127577660512;0.0362646153974964;0.22
3.0;3;FARE;Introduction;-1.0;0.2098960721919122;0.2201920281953458;0.053936922302914435;0.0457806165289654;0.28
3.0;3;FARE;Re-introduction;1.0;0.3158569583129094;0.3049601884147029;0.1922457362642686;0.13343523966775633;0.44
3.0;3;FARE;Re-introduction;1.0;0.10101157621855031;0.11141712969336881;0.0490466461562456;0.0457426083920136;0.26
3.0;3;FARE;Re-introduction;1.0;0.2051561585997805;0.2392961167956909;0.057989257272619596;0.07527893722988122;0.22
3.0;3;FARE;Re-introduction;0.0;0.2530607228352609;0.275627055279203;0.094405155304083;0.0366015826744888;0.28
3.0;3;KEDİ;Introduction;-1.0;1.1592333595605187;1.2342831778748122;0.2194454719304558;0.30411365785323924;0.6
3.0;3;KEDİ;Re-introduction;1.0;0.3199080239563919;0.33143479170058643;0.22135910382462531;0.2066219434670421;0.22
3.0;3;KEDİ;Re-introduction;0.0;0.0827675846449733;0.09240786748786041;0.0206185462384688;0.04931741901996886;0.2
3.0;3;KEDİ;Re-introduction;1.0;0.0787699593121465;0.08246216568046309;0.0233542287331912;0.0334971351439013;0.12
3.0;4;FARE;Introduction;-1.0;0.2428085536883993;0.2704659041140339;0.0764201674493712;0.0465086441247378;0.3
3.0;4;FARE;Introduction;-2.0;0.2740580811023663;0.2706261034857638;0.05901506832134312;0.03952443407582766;0.3
3.0;4;FARE;Re-introduction;1.0;0.594877275000568;0.6538705089272329;0.0961453384760917;0.1188172053408014;0.5
3.0;4;FARE;Re-introduction;1.0;0.2361653519654125;0.2564219543513277;0.0782799047651887;0.09369735815523209;0.32
